",Education,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Customer_Tenure_Days,total_spendings,Total_Children,Living_With"
"86,Postgraduate,36138.0,48,5,3,1,4,7,0,0,56,348,151,2,Partner"
"87,Graduate,50388.0,3,4,6,1,6,7,0,1,69,32,372,1,Alone"
"88,Graduate,79593.0,70,1,5,6,7,2,0,0,53,48,1366,0,Partner"
"89,Graduate,54178.0,79,1,2,2,5,2,0,0,59,159,194,1,Partner"
"90,Postgraduate,52247.25135379061,4,12,7,2,8,9,0,0,69,587,603,3,Partner"
"91,Graduate,52247.25135379061,45,1,1,0,2,7,0,0,69,33,18,2,Alone"
"92,Postgraduate,52247.25135379061,87,1,2,4,8,1,0,0,53,218,985,0,Partner"
"93,Postgraduate,42394.0,69,1,1,0,3,7,0,0,54,98,32,1,Alone"
"94,Postgraduate,23626.0,84,3,3,1,3,5,0,0,56,36,43,1,Partner"
"95,Graduate,30096.0,30,1,2,0,3,6,0,0,43,38,45,1,Partner"
"96,Graduate,47916.0,72,5,7,4,6,6,0,0,66,584,606,1,Alone"
"97,Graduate,51813.0,37,2,2,0,3,7,0,0,54,444,63,2,Alone"
"98,Undergraduate,78497.0,44,1,5,7,12,2,0,0,75,210,978,0,Partner"
"99,Postgraduate,50150.0,32,2,5,2,7,5,0,0,43,374,410,0,Partner"
"100,Undergraduate,47823.0,0,2,2,0,3,8,0,0,66,341,72,1,Alone"
"101,Postgraduate,34554.0,43,2,2,0,3,6,0,0,67,91,55,1,Alone"
"102,Graduate,85693.0,59,2,9,5,11,5,0,0,47,435,1169,1,Partner"
"103,Postgraduate,65846.0,68,1,6,3,6,4,0,0,81,408,1120,0,Partner"
"104,Graduate,87195.0,35,1,3,11,5,1,0,1,67,52,1097,0,Partner"
"105,Undergraduate,24594.0,94,1,1,0,3,5,0,0,47,201,29,1,Partner"
"106,Graduate,49096.0,15,4,4,1,4,7,0,0,62,278,187,2,Partner"
"107,Graduate,52413.0,56,4,6,4,12,6,0,0,57,512,910,2,Partner"
"108,Graduate,38557.0,17,2,3,1,3,7,0,0,48,557,145,1,Alone"
"109,Postgraduate,89058.0,18,1,5,4,4,2,0,0,66,569,850,0,Partner"
"110,Graduate,77298.0,46,1,6,6,11,3,0,0,47,239,969,1,Partner"
"111,Postgraduate,68126.0,40,1,7,4,5,9,0,1,35,596,1820,0,Alone"
"112,Postgraduate,57288.0,27,3,8,1,8,6,0,0,63,4,608,1,Partner"
"113,Graduate,86037.0,95,1,6,7,11,3,0,1,35,543,730,0,Alone"
"114,Postgraduate,43974.0,19,5,6,4,6,7,0,0,46,564,551,1,Partner"
"115,Graduate,50785.0,27,2,2,1,3,6,0,0,64,292,114,2,Alone"
"116,Graduate,90765.0,25,0,4,6,5,1,0,0,56,156,1724,0,Partner"
"117,Undergraduate,36550.0,74,5,9,1,5,9,0,0,48,495,577,1,Partner"
"118,Undergraduate,30753.0,85,2,1,1,3,5,0,0,59,353,81,2,Partner"
"119,Graduate,21918.0,37,2,2,0,3,6,0,0,57,227,33,1,Partner"
"120,Postgraduate,56129.0,65,4,6,2,10,4,0,0,73,374,660,1,Partner"
"121,Postgraduate,32557.0,13,3,2,1,3,5,0,1,59,125,80,1,Alone"
"122,Postgraduate,19510.0,63,2,1,0,3,7,0,0,41,298,30,2,Partner"
"123,Graduate,30992.0,83,1,1,0,3,7,0,0,50,433,43,1,Alone"
"124,Graduate,101970.0,69,0,6,8,13,2,0,1,43,474,1135,0,Alone"
"125,Undergraduate,71488.0,87,2,3,4,7,1,0,0,61,496,559,0,Partner"
"126,Graduate,79607.0,37,1,3,6,6,1,0,1,42,434,1923,0,Alone"
"127,Postgraduate,54348.0,51,2,2,0,4,6,0,0,73,21,90,2,Partner"
"128,Postgraduate,52247.25135379061,23,3,6,1,7,6,0,0,65,353,404,1,Partner"
"129,Postgraduate,77376.0,72,4,6,3,10,4,0,0,70,50,661,2,Partner"
"130,Graduate,62998.0,10,5,5,4,5,5,0,0,74,272,463,1,Partner"
"131,Postgraduate,61331.0,42,5,11,1,6,8,0,0,68,476,632,2,Alone"
"132,Graduate,73448.0,10,1,7,2,9,4,0,0,57,139,725,0,Partner"
"133,Graduate,52247.25135379061,96,1,6,5,7,4,0,0,63,322,725,1,Partner"
"134,Postgraduate,41551.0,51,5,5,1,5,8,0,0,62,319,279,2,Partner"
"135,Postgraduate,62981.0,21,1,4,5,13,3,0,0,59,469,1482,0,Partner"
"136,Undergraduate,9548.0,31,2,1,0,3,8,0,0,50,690,29,1,Alone"
"137,Postgraduate,33762.0,61,3,2,2,2,8,0,0,67,357,106,3,Partner"
"138,Postgraduate,35860.0,37,2,1,1,2,5,0,1,53,41,49,2,Alone"
"139,Postgraduate,36921.0,74,2,2,0,3,7,0,0,61,336,38,2,Alone"
"140,Postgraduate,92859.0,46,1,5,4,12,2,0,0,34,618,2077,0,Alone"
"141,Postgraduate,65104.0,4,2,3,5,7,7,0,1,50,227,1053,1,Partner"
"142,Graduate,86111.0,73,1,5,7,10,2,0,0,64,436,1385,0,Partner"
"143,Postgraduate,68352.0,47,3,8,5,9,6,0,0,52,305,871,1,Alone"
"144,Graduate,41883.0,13,3,4,2,3,7,0,0,38,467,312,1,Partner"
"145,Graduate,59809.0,36,3,3,3,6,8,0,0,50,619,877,2,Partner"
"146,Graduate,23957.0,47,1,2,0,3,6,0,1,51,609,68,1,Partner"
"147,Graduate,38547.0,49,1,1,0,2,8,1,0,45,305,22,1,Partner"
"148,Undergraduate,35688.0,94,7,4,1,4,8,0,0,53,676,211,3,Partner"
"149,Postgraduate,49605.0,65,1,2,1,4,3,0,0,60,8,127,0,Partner"
"150,Postgraduate,59354.0,59,1,4,4,7,3,0,0,73,66,459,2,Partner"
"151,Graduate,65747.0,96,4,8,1,6,6,0,0,57,114,460,1,Partner"
"152,Undergraduate,46344.0,28,4,7,1,5,7,0,0,54,562,429,1,Partner"
"153,Graduate,34176.0,12,4,3,0,4,6,0,0,38,48,89,1,Alone"
"154,Postgraduate,61010.0,57,2,8,5,11,5,0,0,74,628,1021,1,Partner"
"155,Graduate,69372.0,10,1,10,4,6,4,0,1,77,495,1381,0,Partner"
"156,Graduate,49967.0,4,3,6,1,5,7,0,0,68,356,306,1,Alone"
"157,Graduate,60199.0,49,1,0,0,3,4,0,0,48,290,18,3,Alone"
"158,Graduate,55375.0,3,1,1,1,6,2,0,0,49,255,162,1,Partner"
"159,Graduate,80317.0,64,1,3,4,10,1,0,0,71,313,1231,0,Alone"
"160,Postgraduate,30523.0,0,1,1,0,2,7,0,0,68,363,13,3,Alone"
"161,Postgraduate,70356.0,20,2,10,6,9,6,0,0,81,601,1706,0,Partner"
"162,Graduate,23228.0,91,4,3,0,4,8,0,0,42,175,121,1,Partner"
"163,Postgraduate,74165.0,9,1,5,4,10,2,0,0,51,424,1293,0,Alone"
"164,Postgraduate,157243.0,98,15,0,22,0,0,0,0,53,120,1608,1,Partner"
"165,Graduate,43482.0,83,3,2,0,4,6,0,0,60,228,88,3,Partner"
"166,Graduate,62551.0,27,1,6,7,4,3,0,0,73,223,421,0,Alone"
"167,Graduate,52332.0,63,1,3,2,6,4,0,0,67,305,259,0,Alone"
"168,Graduate,66951.0,46,1,3,4,7,1,0,0,38,239,1117,0,Alone"
"169,Graduate,26091.0,84,3,2,1,3,5,0,0,69,124,89,2,Partner"
"170,Graduate,33456.0,58,2,1,0,3,7,0,0,61,69,36,2,Partner"
"171,Graduate,28718.0,78,2,2,0,3,8,0,0,44,351,57,1,Partner"
"172,Graduate,50447.0,4,1,3,1,3,6,0,0,56,69,148,2,Partner"
"173,Postgraduate,53537.0,17,2,2,1,3,5,0,0,67,150,93,2,Partner"
"174,Graduate,52074.0,77,1,2,2,2,4,0,0,59,86,119,1,Alone"
"175,Postgraduate,80427.0,56,1,11,8,8,5,0,0,51,655,1835,1,Partner"
"176,Postgraduate,83837.0,79,1,9,10,5,4,0,1,78,560,1318,0,Partner"
"177,Postgraduate,38853.0,90,2,2,0,3,7,0,0,56,37,45,2,Partner"
"178,Graduate,38285.0,96,1,0,0,3,2,0,0,67,5,10,3,Partner"
"179,Undergraduate,78497.0,44,1,5,7,12,2,0,0,75,210,978,0,Partner"
"180,Postgraduate,51650.0,81,1,4,1,4,5,0,0,50,49,191,1,Partner"
"181,Undergraduate,16248.0,77,3,2,1,3,6,0,0,38,50,57,1,Partner"
"182,Postgraduate,66835.0,21,1,6,4,13,2,0,0,80,274,1033,0,Partner"
"183,Postgraduate,30477.0,16,1,1,1,3,6,0,0,42,158,66,1,Partner"
"184,Undergraduate,28249.0,80,1,2,0,3,6,0,0,65,14,43,0,Partner"
"185,Graduate,25271.0,45,1,1,1,2,9,0,0,43,571,50,1,Partner"
"186,Postgraduate,32303.0,63,2,1,0,4,5,0,0,56,113,39,1,Alone"
"187,Graduate,61286.0,34,2,7,1,8,5,0,0,60,331,608,1,Partner"
"188,Graduate,74068.0,14,1,4,10,9,2,0,0,50,467,1581,0,Partner"
"189,Postgraduate,45759.0,13,2,2,0,3,7,0,0,62,491,68,2,Partner"
"190,Undergraduate,24882.0,52,1,1,1,2,6,0,0,48,658,80,1,Partner"
"191,Postgraduate,66973.0,98,1,8,7,12,3,0,0,37,408,1282,0,Partner"
"193,Graduate,38872.0,93,2,3,0,3,8,0,0,38,395,91,1,Partner"
"194,Graduate,51148.0,38,4,5,1,6,6,0,0,53,496,315,2,Partner"
"195,Graduate,31353.0,24,2,1,1,2,8,0,0,49,182,31,2,Partner"
"196,Postgraduate,69661.0,80,1,7,3,12,3,0,0,46,47,834,0,Partner"
"197,Graduate,80067.0,82,1,4,6,6,2,0,0,72,283,1600,0,Partner"
"198,Graduate,86718.0,20,1,5,6,5,2,0,0,72,528,1270,0,Partner"
"199,Postgraduate,46854.0,81,6,5,1,3,8,0,1,53,90,263,2,Alone"
"200,Graduate,69142.0,50,3,8,1,7,5,0,0,74,0,535,1,Alone"
"201,Graduate,75922.0,60,1,4,4,9,1,0,0,58,202,1295,0,Alone"
"202,Graduate,63693.0,63,3,11,6,9,6,0,0,48,258,1150,1,Alone"
"203,Postgraduate,102160.0,54,0,7,9,10,4,0,1,49,604,1240,0,Partner"
"204,Postgraduate,40637.0,72,2,1,0,3,7,0,0,61,347,38,2,Alone"
"205,Postgraduate,18890.0,5,1,0,1,2,6,0,1,42,596,35,0,Alone"
"206,Graduate,29604.0,88,1,1,0,3,9,0,0,38,203,53,1,Partner"
"207,Postgraduate,48721.0,50,6,4,2,5,6,0,0,63,412,293,2,Alone"
"208,Graduate,44794.0,99,1,2,0,3,6,0,0,60,21,65,1,Partner"
"209,Graduate,64497.0,17,5,11,4,9,8,0,1,72,657,1804,1,Alone"
"210,Graduate,46097.0,11,5,3,1,6,4,0,0,70,455,241,1,Partner"
"211,Graduate,77972.0,18,1,4,6,9,1,0,0,72,103,1101,0,Partner"
"212,Postgraduate,44377.0,70,8,5,1,5,8,0,0,58,632,264,2,Partner"
"213,Postgraduate,46014.0,21,10,7,1,8,7,0,0,52,524,541,2,Partner"
"214,Graduate,70951.0,66,1,3,4,9,1,0,0,41,421,1198,0,Partner"
"215,Graduate,41443.0,79,6,8,1,5,8,0,0,49,89,482,1,Partner"
"216,Undergraduate,52195.0,2,1,1,0,2,8,0,0,48,48,17,3,Alone"
"217,Postgraduate,83790.0,81,1,8,10,6,3,0,0,78,226,1615,0,Partner"
"218,Postgraduate,44551.0,24,2,4,1,5,7,0,0,72,302,285,1,Alone"
"219,Graduate,69508.0,48,2,11,4,11,6,0,0,46,592,1135,1,Partner"
"220,Undergraduate,45204.0,93,1,1,1,4,3,0,0,38,79,114,1,Partner"
"221,Graduate,72460.0,56,1,3,5,7,1,0,0,57,227,1047,0,Partner"
"222,Postgraduate,77622.0,3,2,6,3,11,3,0,0,56,76,714,2,Partner"
"223,Postgraduate,30732.0,44,4,4,1,4,8,0,0,46,540,185,1,Partner"
"224,Graduate,63887.0,38,5,9,6,12,6,0,0,64,659,1245,1,Alone"
"225,Graduate,42011.0,46,4,3,1,4,8,0,0,48,460,189,1,Partner"
"226,Graduate,51369.0,84,2,8,2,4,8,0,0,50,612,576,1,Partner"
"227,Graduate,51537.0,27,3,2,2,11,8,0,0,74,567,1103,1,Alone"
"228,Postgraduate,79930.0,72,1,3,5,8,2,0,0,54,690,1753,0,Partner"
"229,Postgraduate,34320.0,66,1,1,0,2,8,0,0,40,133,17,1,Partner"
"230,Graduate,37070.0,30,9,5,1,8,7,0,1,60,466,433,2,Alone"
"231,Undergraduate,81975.0,2,1,6,3,4,7,0,0,64,540,1588,1,Alone"
"232,Graduate,38590.0,65,1,1,0,2,8,0,0,55,410,22,1,Partner"
"233,Graduate,15033.0,37,1,1,0,3,3,0,0,75,74,19,0,Alone"
"234,Postgraduate,62745.0,89,3,7,8,11,5,0,0,61,463,1117,1,Partner"
"235,Undergraduate,22212.0,49,2,2,0,4,6,0,0,51,202,69,1,Partner"
"236,Postgraduate,23661.0,46,1,1,0,3,7,0,0,44,207,23,1,Partner"
"237,Postgraduate,79761.0,32,1,5,2,11,3,0,0,68,268,605,1,Alone"
"238,Graduate,7500.0,54,4,3,1,3,7,0,0,53,185,57,1,Alone"
"240,Graduate,73455.0,98,1,6,5,10,3,0,0,58,244,2088,0,Alone"
"241,Graduate,64961.0,97,2,6,4,4,3,0,0,68,553,1009,1,Partner"
"242,Graduate,22804.0,75,1,2,0,2,9,0,0,55,333,26,1,Alone"
"243,Graduate,73687.0,8,1,3,9,9,2,0,1,36,213,1627,0,Partner"
"244,Graduate,61074.0,37,7,11,5,8,7,0,0,68,681,1102,1,Partner"
"245,Postgraduate,31686.0,31,2,1,0,3,6,0,0,62,24,17,2,Partner"
"246,Graduate,80134.0,40,2,5,3,6,6,0,1,54,405,1690,1,Partner"
"247,Graduate,75027.0,74,2,9,4,6,5,0,0,73,536,1390,1,Partner"
"248,Postgraduate,67546.0,90,1,4,10,5,3,0,0,38,667,2126,0,Partner"
"249,Postgraduate,65176.0,57,4,9,6,6,6,0,0,57,608,1531,1,Partner"
"250,Postgraduate,31160.0,59,2,2,0,3,8,0,0,51,286,64,1,Alone"
"251,Graduate,29938.0,52,2,1,0,3,6,0,0,41,245,26,1,Alone"
"252,Graduate,102692.0,5,1,6,9,13,2,0,1,52,450,1112,0,Alone"
"253,Undergraduate,26490.0,92,2,3,1,5,6,0,0,68,645,210,0,Partner"
"254,Graduate,75702.0,77,5,4,6,11,8,0,0,59,669,1148,2,Partner"
"255,Postgraduate,30899.0,35,2,1,0,3,6,0,0,52,624,33,1,Alone"
"256,Postgraduate,63342.0,48,3,8,3,5,6,0,0,65,621,1101,1,Partner"
"257,Graduate,45989.0,97,4,3,2,7,3,0,0,62,615,322,1,Alone"
"258,Graduate,18701.0,95,4,2,0,4,5,0,0,62,390,44,2,Alone"
"259,Postgraduate,40737.0,24,1,1,0,2,8,0,0,69,203,17,3,Alone"
"260,Graduate,15287.0,60,2,1,1,2,7,0,1,47,627,31,1,Alone"
"261,Postgraduate,69674.0,46,3,10,2,10,5,0,0,58,403,845,2,Alone"
"262,Postgraduate,44159.0,85,4,4,1,6,5,0,0,56,12,275,1,Partner"
"263,Postgraduate,37717.0,31,1,1,0,2,9,0,0,48,583,25,1,Partner"
"264,Postgraduate,43776.0,9,6,5,2,4,8,0,1,74,511,275,2,Partner"
"265,Postgraduate,38179.0,30,4,3,1,3,7,0,0,60,472,90,2,Partner"
"266,Graduate,80124.0,47,1,3,7,8,1,0,0,63,3,1495,0,Partner"
"267,Postgraduate,38097.0,70,4,3,2,2,7,0,1,56,622,184,2,Partner"
"268,Graduate,72940.0,13,1,3,3,6,1,0,0,56,375,981,0,Partner"
"269,Graduate,22070.0,11,2,2,2,2,6,0,0,56,268,67,1,Partner"
"270,Graduate,69267.0,31,2,3,4,5,7,0,1,73,645,1635,0,Alone"
"271,Postgraduate,31788.0,15,3,3,0,4,5,1,0,43,101,60,1,Alone"
"272,Postgraduate,61905.0,2,2,4,2,4,5,0,0,51,145,231,1,Partner"
"273,Graduate,29315.0,55,4,2,0,4,6,0,0,66,84,48,2,Partner"
"274,Graduate,33378.0,38,3,2,0,4,7,0,0,63,508,99,2,Alone"
"275,Postgraduate,66313.0,86,2,6,3,12,4,0,0,63,286,770,1,Partner"
"276,Graduate,60714.0,56,2,7,4,10,5,0,1,70,528,957,0,Alone"
"277,Postgraduate,77882.0,29,1,3,3,5,1,0,0,45,60,818,0,Partner"
"278,Postgraduate,69867.0,30,1,3,5,8,1,0,1,40,453,925,0,Alone"
"279,Postgraduate,63841.0,64,1,9,3,9,6,0,0,58,434,908,1,Alone"
"280,Undergraduate,24480.0,46,3,3,0,4,7,0,0,45,503,102,1,Partner"
"281,Graduate,51369.0,84,2,8,2,4,8,0,0,50,612,576,1,Partner"
"282,Graduate,37760.0,20,2,4,1,6,7,0,0,80,667,317,0,Partner"
"283,Postgraduate,65640.0,74,1,5,1,8,2,0,0,52,120,461,1,Partner"
"284,Postgraduate,44319.0,18,2,2,0,3,5,0,0,51,73,37,2,Partner"
"285,Graduate,30631.0,75,1,3,1,2,7,0,0,52,352,70,1,Partner"
"286,Graduate,75278.0,17,1,6,3,13,3,0,0,74,516,930,0,Partner"
"287,Postgraduate,50898.0,88,13,6,2,12,5,0,0,70,537,859,2,Partner"
"288,Graduate,79946.0,19,1,5,11,5,3,0,0,60,48,1478,0,Alone"
"289,Postgraduate,35416.0,62,3,7,1,5,8,0,0,77,381,390,0,Alone"
"290,Undergraduate,32414.0,11,1,1,0,3,7,0,0,42,360,52,0,Partner"
"291,Graduate,38361.0,74,3,3,1,3,7,0,0,57,184,137,1,Partner"
"292,Graduate,82497.0,32,1,2,7,9,4,0,0,46,606,1919,0,Partner"
"293,Graduate,16626.0,76,3,3,0,3,9,0,0,55,165,68,2,Partner"
"294,Graduate,29672.0,6,1,0,0,3,6,0,0,61,474,25,2,Partner"
"295,Postgraduate,55951.0,62,3,3,6,11,8,0,0,74,675,1374,1,Partner"
"296,Undergraduate,35388.0,20,1,1,0,3,7,0,0,38,479,32,1,Alone"
"297,Postgraduate,42386.0,43,1,3,0,3,8,0,0,40,532,100,1,Partner"
"298,Graduate,68627.0,45,1,2,3,6,1,0,0,44,533,825,0,Alone"
"299,Postgraduate,57912.0,34,5,8,3,12,5,0,0,61,104,916,1,Alone"
"300,Graduate,35246.0,53,4,3,1,3,5,0,0,68,74,62,2,Alone"
"301,Undergraduate,58821.0,44,1,9,2,9,6,0,0,70,260,728,1,Partner"
"302,Postgraduate,46377.0,89,1,2,1,3,4,0,0,48,120,90,1,Partner"
"303,Graduate,39747.0,43,3,5,1,4,8,0,0,38,77,273,1,Alone"
"304,Graduate,23976.0,68,3,3,1,3,7,0,0,42,184,66,1,Partner"
"305,Postgraduate,80950.0,44,1,6,7,9,2,0,0,65,458,1213,0,Partner"
"306,Graduate,27038.0,64,1,3,0,3,9,0,1,60,649,107,0,Alone"
"307,Graduate,77457.0,85,1,2,5,10,1,0,0,79,116,1157,0,Alone"
"308,Postgraduate,64100.0,93,1,8,3,6,7,0,0,62,292,546,1,Partner"
"309,Postgraduate,42670.0,12,1,4,2,4,4,0,0,34,428,241,0,Partner"
"310,Graduate,12571.0,86,4,3,1,3,6,0,0,50,162,53,1,Alone"
"311,Graduate,22574.0,28,2,2,0,3,7,0,0,59,244,37,3,Partner"
"312,Graduate,52247.25135379061,69,1,6,5,12,3,0,0,37,391,1611,0,Partner"
"313,Postgraduate,70893.0,42,1,6,6,10,3,0,0,50,508,1508,0,Alone"
"314,Graduate,54198.0,13,6,3,1,6,4,0,0,60,194,235,2,Partner"
"315,Postgraduate,28839.0,86,2,2,0,3,5,0,0,70,110,32,2,Partner"
"316,Graduate,40321.0,59,2,3,0,3,7,0,0,54,335,102,2,Partner"
"317,Graduate,66503.0,30,2,4,3,6,3,0,0,41,684,401,1,Alone"
"318,Graduate,30833.0,33,2,1,0,3,5,0,0,75,348,28,2,Partner"
"319,Graduate,52247.25135379061,67,6,2,3,10,7,0,0,56,310,1052,3,Alone"
